movieId,imdbId,tmdbId
1302,0097351,2323
1303,0073341,983
1304,0064115,642
1307,0098635,639
1333,0056869,571
1343,0101540,1598
1344,0055824,11349
1345,0074285,7340
1348,0013442,653
1350,0075005,794
1353,0117057,25189
1354,0115751,145
1356,0117731,199
1357,0117631,7863
1358,0117666,12498
1361,0117293,17204
1363,0117372,21539
1366,0115988,20539
1367,0115433,11674
1372,0102975,174
1374,0084726,154
1376,0092007,168
1377,0103776,364
1380,0077631,621
1381,0084021,9037
1387,0073195,578
1389,0085750,17692
1393,0116695,9390
1394,0093822,378
1396,0105435,2322
1398,0116621,26949
1407,0117571,4232
1408,0104691,9361
1411,0116477,10549
1413,0118163,18451
1416,0116250,8818
1423,0116506,55146
1441,0106387,4104
1446,0116790,784
1449,0118111,16448
1466,0119008,9366
1474,0119432,9446
1485,0119528,1624
1496,0118623,50512
1500,0119229,9434
1513,0120032,9611
1537,0117615,11239
1542,0115744,9450
1544,0119567,330
1545,0117359,38523
1569,0119738,8874
1573,0119094,754
1580,0119654,607
1586,0119173,4421
1608,0118571,9772
1610,0099810,1669
1617,0119488,2118
1625,0119174,2649
1635,0119349,68924
1643,0119280,17589
1645,0118971,1813
1650,0120481,45019
1653,0119177,782
1663,0083131,10890
1672,0119978,11975
1674,0090329,9281
1680,0120148,10215
1682,0120382,37165
1683,0120520,45609
1704,0119217,489
1711,0119668,8197
1717,0120082,4233
1719,0120255,10217
1721,0120338,597
1726,0119925,9922
1732,0118715,115
1735,0119223,9410
1748,0118929,2666
1777,0120888,11003
1779,0120184,10153
1797,0120661,21736
1801,0120744,9313
1810,0119942,9440
1834,0120176,29193
1836,0120728,16980
1893,0116692,312
1900,0118849,21334
1902,0116141,32284
1909,0120902,846
1912,0120780,1389
1913,0073540,11020
1916,0118789,9464
1917,0120591,95
1921,0138704,473
1923,0129387,544
1931,0026752,12311
1938,0037884,28580
1940,0039416,33667
1942,0041113,25430
1945,0047296,654
1947,0055614,1725
1948,0057590,5769
1950,0061811,10633
1951,0063385,17917
1952,0064665,3116
1953,0067116,1051
1954,0075148,1366
1955,0079417,12102
1957,0082158,9443
1959,0089755,606
1960,0093389,746
1961,0095953,380
1962,0097239,403
1975,0082418,9725
1976,0083972,9728
1977,0087298,9730
1978,0089173,9731
1979,0091080,10225
1983,0082495,11281
1984,0085636,10676
1994,0084516,609
1995,0091778,11133
1996,0095889,10306
1997,0070047,9552
2006,0120746,9342
2011,0096874,165
2019,0047478,346
2020,0094947,859
2022,0095497,11051
2023,0099674,242
2028,0120815,857
2054,0097523,9354
2058,0120768,9631
2059,0120783,9820
2064,0098213,1779
2065,0089853,10849
2066,0039689,678
2070,0086423,42121
2071,0106273,2887
2076,0090756,793
2078,0061852,9325
2080,0048280,10340
2085,0055254,12230
2097,0086336,24808
2100,0088161,2619
2108,0102250,2107
2114,0086066,227
2115,0087469,87
2116,0077869,123
2118,0085407,11336
2121,0085382,10489
2122,0087050,10823
2124,0101272,2907
2138,0078480,11837
2139,0084649,11704
2145,0091790,11522
2146,0090060,11557
2160,0063522,805
2167,0120611,36647
2171,0119778,41469
2186,0044079,845
2187,0042994,1978
2194,0094226,117
2202,0037017,13321
2203,0036342,21734
2206,0034248,11462
2208,0030341,940
2243,0092699,12626
2247,0095593,2321
2248,0098258,2028
2249,0100212,16384
2268,0104257,881
2291,0099487,162
2295,0120823,28134
2296,0120770,9429
2300,0063462,30197
2302,0104952,10377
2310,0119670,9821
2312,0090830,1890
2313,0080678,1955
2324,0118799,637
2329,0120586,73
2334,0133952,9882
2335,0120484,10663
2336,0127536,4518
2351,0050783,19426
2355,0120623,9487
2357,0140888,666
2360,0154420,309
2387,0124198,10029
2390,0147004,8545
2391,0120324,10223
2393,0120844,200
2394,0120794,9837
2396,0138097,1934
2410,0084602,1371
2411,0089927,1374
2412,0100507,1375
2420,0087538,1885
2421,0091326,8856
2422,0097647,10495
2423,0097958,5825
2424,0128853,9489
2431,0129290,10312
2442,0150915,46992
2463,0091877,12151
2467,0091605,192
2470,0090555,9671
2471,0092493,9396
2491,0145893,16172
2494,0174852,20595
2502,0151804,1542
2505,0134273,8224
2506,0123209,18417
2517,0085333,8769
2529,0063442,871
2550,0057129,11772
2553,0054443,11773
2554,0056931,30202
2565,0049408,16520
2571,0133093,603
2572,0147800,4951
2579,0154506,11660
2581,0151738,11355
2583,0126250,9465
2598,0120797,12596
2600,0120907,1946
2612,0037913,3309
2616,0099422,8592
2628,0120915,1893
2640,0078346,1924
2641,0081573,8536
2642,0086393,9531
2648,0021884,3035
2660,0044121,10785
2662,0046534,8974
2664,0049366,11549
2677,0186508,11779
2692,0130827,104
2693,0120370,15800
2694,0142342,9032
2699,0099052,6488
2700,0158983,9473
2706,0163651,2105
2710,0185937,2667
2712,0120663,345
2716,0087332,620
2717,0097428,2978
2719,0171363,11618
2723,0132347,9824
2726,0049406,247
2728,0054331,967
2731,0053198,147
2745,0091530,11416
2750,0093818,30890
2761,0129167,10386
2762,0167404,745
2787,0088889,10552
2791,0080339,813
2797,0094737,2280
2801,0119843,39780
2803,0107798,9944
2804,0085334,850
2827,0138304,2900
2863,0058182,704
2871,0068473,10669
2872,0082348,11527
2905,0056443,11712
2915,0086200,9346
2918,0091042,9377
2919,0086617,11541
2927,0037558,851
2935,0033804,3086
2937,0035169,32255
2940,0038559,3767
2941,0052225,17352
2943,0104507,2731
2951,0058461,391
2952,0119256,8052
2953,0104431,772
2959,0137523,550
2966,0166896,404
2967,0048977,42196
2968,0081633,36819
2987,0096438,856
3000,0119698,128
3006,0140352,9008
3007,0181288,14242
3011,0065088,28145
3028,0061407,25560
3030,0055630,11878
3039,0086465,1621
3040,0079540,14035
3044,0101669,11498
3052,0120655,1832
3060,0101605,11663
3071,0094027,29154
3072,0093565,2039
3077,0164312,20565
3081,0162661,2668
3087,0096061,9647
3095,0032551,596
3097,0033045,20334
3098,0087781,11393
3101,0093010,10998
3108,0101889,177
3111,0087921,13681
3114,0120363,863
3115,0155711,31582
3125,0172396,20024
3134,0028950,777
3135,0079239,21887
3147,0120689,497
3152,0067328,25188
3160,0175880,334
3174,0125664,1850
3175,0177789,926
3176,0134119,1213
3178,0174856,10400
3181,0120866,12524
3186,0172493,3558
3192,0169302,48233
3210,0083929,13342
3211,0094924,35119
3247,0105417,2005
3250,0106246,7305
3258,0104070,9374
3259,0104231,11259
3260,0104454,8293
3263,0105812,10158
3265,0104684,11782
3266,0103905,10086
3270,0104040,16562
3273,0134084,4234
3281,0144801,113096
3306,0018773,28978
3307,0021749,901
3310,0012349,10098
3317,0185014,11004
3330,0055471,28569
3341,0042276,24481
3360,0091217,5693
3384,0072251,8333
3385,0090274,19259
3386,0102138,820
3408,0195685,462
3420,0078718,17443
3421,0077975,8469
3424,0097216,925
3429,0099317,54825
3435,0036775,996
3447,0028944,36652
3451,0061735,1879
3461,0057261,9960
3462,0027977,3082
3468,0054997,990
3469,0053946,1908
3475,0043924,25673
3481,0146882,243
3489,0102057,879
3498,0077928,11327
3499,0100157,1700
3502,0107630,41659
3504,0074958,10774
3507,0063374,11356
3512,0122459,2621
3515,0183503,49721
3526,0098067,1552
3527,0093773,106
3528,0102713,10333
3536,0171433,4967
3546,0056687,10242
3548,0051383,16347
3549,0048140,4825
3552,0080487,11977
3556,0159097,1443
3559,0044837,28971
3566,0189584,15723
3578,0172495,98
3608,0089791,5683
3629,0015864,962
3671,0071230,11072
3675,0047673,13368
3676,0074486,985
3683,0086979,11368
3712,0102951,25562
3723,0099726,10264
3724,0077362,31657
3730,0071360,592
3735,0070666,9040
3793,0120903,36657
3801,0052561,93
3811,0080310,13783
3816,0089276,29263
3844,0098384,10860
3849,0038975,27452
3859,0233687,15665
3877,0088206,9651
3897,0181875,786
3910,0168629,16
3911,0218839,13785
3932,0024184,10787
3948,0212338,1597
3949,0180093,641
3951,0202641,63956
3967,0249462,71
3983,0203230,14295
3988,0170016,8871
3994,0217869,9741
3996,0190332,146
4007,0094291,10673
4012,0095927,40820
4015,0242423,8859
4019,0181536,711
4024,0200720,25520
4025,0212346,1493
4027,0190590,134
4029,0120202,21991
4034,0181865,1900
4046,0049233,43258
4077,0216800,47943
4105,0083907,764
4113,0093093,52780
4117,0093209,32054
4138,0093589,51521
4144,0118694,843
4160,0191636,48217
4164,0182000,25208
4166,0251031,19513
4171,0236447,95682
4174,0099073,2302
4184,0039190,19490
4189,0059245,2428
4190,0053793,22013
4191,0060086,15598
4204,0085868,33676
4210,0091474,11454
4211,0100486,38718
4214,0088000,14052
4218,0091860,21309
4221,0102517,20704
4223,0215750,853
4226,0209144,77
4232,0227538,10054
4246,0243155,634
4259,0211492,52654
4262,0086250,111
4263,0055895,32488
4292,0079638,40842
4296,0066011,9062
4306,0126029,808
4312,0210727,26813
4316,0077716,50541
4326,0095647,1632
4333,0094142,11896
4343,0251075,9397
4347,0234288,29937
4356,0045810,759
4359,0048605,10653
4361,0084805,9576
4370,0212720,644
4380,0203632,9301
4396,0082136,11286
4404,0016847,10728
4446,0173840,2114
4447,0250494,8835
4448,0227445,11371
4454,0188913,36107
4465,0094608,10868
4476,0094739,12710
4477,0094744,30502
4489,0094898,9602
4495,0094921,27397
4526,0095687,12120
4537,0096018,18197
4545,0091949,2605
4546,0096163,8740
4552,0096251,41428
4558,0096320,9493
4571,0096928,1648
4600,0097458,17190
4612,0097635,4486
4621,0097778,9494
4623,0097815,9942
4638,0163025,331
4639,0265029,11467
4641,0162346,1548
4677,0098536,6951
4678,0098546,11959
4688,0101465,41784
4708,0060668,44258
4725,0261983,10972
4787,0102316,11521
4801,0033836,43802
4808,0108473,1644
4809,0086312,12502
4812,0091993,13766
4816,0196229,9398
4823,0240890,9778
4835,0080549,16769
4857,0067093,14811
4874,0272152,167
4878,0246578,141
4881,0243133,10778
4896,0241527,671
4902,0256009,1433
4920,0035140,32847
4963,0240772,161
4969,0037515,4886
4970,0020697,228
4973,0211915,194
4979,0265666,9428
4980,0101452,1649
4993,0120737,120
4995,0268978,453
4998,0051525,11414
5008,0051201,37257
5012,0086619,10269
5015,0285742,1365
5034,0103129,18317
5064,0245844,11362
5088,0072353,4031
5114,0044391,32499
5120,0069281,993
5135,0265343,480
5139,0074174,23479
5213,0081268,38147
5224,0282864,38880
5238,0081420,42750
5254,0187738,36586
5266,0258000,4547
5291,0042876,548
5294,0264616,12149
5304,0038890,307
5316,0157583,10491
5349,0145487,557
5353,0068326,55106
5377,0276751,245
5379,0247199,4012
5388,0278504,320
5398,0056406,53229
5404,0090570,15677
5445,0181689,180
5446,0252444,9555
5450,0258273,50035
5451,0265591,9719
5459,0120912,608
5464,0257044,4147
5470,0044744,20324
5475,0065234,2721
5483,0303353,29047
5498,0058888,3780
5502,0286106,2675
5505,0279113,9962
5527,0256276,30072
5528,0265459,9357
5548,0090966,9941
5577,0280760,9685
5601,0039111,19049
5603,0044829,32961
5618,0245429,129
5629,0298388,15173
5630,0289765,9533
5633,0246677,10575
5644,0035211,19140
5669,0310793,1430
5673,0272338,8051
5682,0252480,15192
5685,0296166,30309
5690,0095327,12477
5694,0086361,10805
5747,0082432,11646
5791,0120679,1360
5792,0299117,13441
5802,0058756,19662
5812,0297884,10712
5816,0295297,672
5820,0314725,30192
5875,0295238,32625
5876,0258068,8198
5878,0287467,64
5899,0058777,14433
5952,0167261,121
5954,0307901,1429
5971,0096283,8392
5989,0264464,640
5991,0299658,1574
5994,0309912,29339
5995,0253474,423
6002,0282698,15395
6003,0290538,4912
6016,0317248,598
6020,0026056,43886
6027,0101748,14667
6031,0052918,34148
6041,0280653,9045
6058,0309593,9358
6063,0303361,10894
6090,0084210,81001
6101,0084335,15600
6104,0084352,11949
6107,0084422,42130
6156,0300471,6038
6157,0287978,9480
6159,0299458,13132
6163,0291579,12112
6170,0078872,17264
6178,0059573,33364
6181,0043961,59401
6183,0053172,4952
6188,0302886,11635
6195,0324080,105024
6197,0278731,9613
6201,0091374,21867
6214,0290673,979
6216,0161860,1591
6218,0286499,455
6228,0035417,23159
6232,0060182,15347
6235,0099776,8996
6238,0099699,12157
6242,0178868,2671
6244,0096028,45129
6245,0065054,42618
6254,0028597,14675
6268,0316188,25461
6269,0334416,51927
6273,0042593,17057
6281,0183649,1817
6283,0275277,11299
6286,0311519,7294
6288,0280477,14290
6289,0297144,24982
6290,0251736,2662
6291,0300140,12093
6296,0310281,13370
6297,0311289,8326
6299,0301727,11516
6305,0060390,1714
6308,0091396,9930
6323,0309698,2832
6327,0342275,38868
6331,0334405,16636
